,trading_status_wave03,trading_status_wave04,trading_status_wave05,trading_status_wave06,trading_status_wave07,trading_status_wave08,trading_status_wave09,trading_status_wave10,trading_status_wave11,trading_status_wave12,trading_status_wave13,trading_status_wave14,new_recruitment_wave03,new_recruitment_wave04,new_recruitment_wave05,new_recruitment_wave06,new_recruitment_wave07,new_recruitment_wave08,new_recruitment_wave09,new_recruitment_wave10,new_recruitment_wave11,new_recruitment_wave12,new_recruitment_wave13,new_recruitment_wave14,online_challenge_wave13,footfall_wave11,footfall_wave12,footfall_wave13,prices_bought_wave03,prices_bought_wave04,prices_bought_wave05,prices_bought_wave06,prices_bought_wave07,prices_bought_wave08,prices_bought_wave09,prices_bought_wave10,prices_bought_wave11,prices_bought_wave12,prices_bought_wave13,prices_bought_wave14,prices_sold_wave03,prices_sold_wave04,prices_sold_wave05,prices_sold_wave06,prices_sold_wave07,prices_sold_wave08,prices_sold_wave09,prices_sold_wave10,prices_sold_wave11,prices_sold_wave12,prices_sold_wave13,prices_sold_wave14,exporting_effect_wave04,exporting_effect_wave05,exporting_effect_wave06,exporting_effect_wave07,exporting_effect_wave08,exporting_effect_wave09,exporting_effect_wave10,exporting_effect_wave11,exporting_effect_wave12,exporting_effect_wave13,exporting_effect_wave14,importing_effect_wave04,importing_effect_wave05,importing_effect_wave06,importing_effect_wave07,importing_effect_wave08,importing_effect_wave09,importing_effect_wave10,importing_effect_wave11,importing_effect_wave12,importing_effect_wave13,importing_effect_wave14,stock_levels_wave07,stock_levels_wave08,stock_levels_wave09,stock_levels_wave10,stock_levels_wave11,stock_levels_wave12,stock_levels_wave13,stock_levels_wave14,turnover_wave03,turnover_wave04,turnover_wave05,turnover_wave06,turnover_wave07,turnover_wave08,turnover_wave09,turnover_wave10,turnover_wave11,turnover_wave12,turnover_wave13,turnover_wave14,turnover_vs_operating_cost_wave10,turnover_vs_operating_cost_wave11,turnover_vs_operating_cost_wave12,turnover_vs_operating_cost_wave13,turnover_vs_operating_cost_wave14,capex_wave07,capex_wave09,capex_wave11,capex_wave13,cash_flow_wave04,cash_flow_wave05,cash_flow_wave06,cash_flow_wave07,cash_flow_wave08,cash_flow_wave09,cash_flow_wave10,cash_flow_wave11,cash_flow_wave12,cash_flow_wave13,cash_flow_wave14,value_of_covid_based_loans_taken_out,company_reg_number
461,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,1,0,0,0,0,0,1,0,0,Other,Not applicable,Not applicable,Not applicable,N/A,Prices did not change any more than normal,"Some prices increased, some prices decreased",Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices increased more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices decreased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Exporting has not been affected,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting more than normal,Not been able to export in the last two weeks,Exporting more than normal,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,Not sure,Exporting has not been affected,"Importing, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,Importing has not been affected,Importing has not been affected,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Importing has not been affected,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Not sure,Stock levels have not changed,Stock levels have not changed,N/A,0,0,0,0,0,37,0,38,-11,-12,0,0,0,13,0,0,Capital expenditure has not been affected,Capital expenditure is lower than normal,Capital expenditure has not been affected,Capital expenditure is lower than normal,More than 6 months,More than 6 months,Not sure,More than 6 months,4 to 6 months,Not sure,1 to 3 months,1 to 3 months,Not sure,1 to 3 months,1 to 3 months,26965,20000519
462,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,Not sure,Exporting has not been affected,Exporting has not been affected,Exporting has not been affected,Not sure,Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal",Not sure,"Importing, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing more than normal,Not sure,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels are higher than normal,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels are higher than normal,0,0,-11,-10,-9,0,0,0,11,0,9,0,76,0,4,0,9,Capital expenditure has not been affected,Capital expenditure is lower than normal,Capital expenditure has not been affected,Capital expenditure is higher than normal,1 to 3 months,1 to 3 months,1 to 3 months,1 to 3 months,Not sure,Not sure,1 to 3 months,Not sure,1 to 3 months,Not sure,Not sure,29788,20000520
463,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not sure,Footfall has decreased,Footfall has increased,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices increased more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Not sure,Prices did not change any more than normal,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Importing more than normal,Not been able to import in the last two weeks,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Importing has not been affected,"Importing, but less than normal",Not sure,Stock levels are lower than normal,Stock levels have not changed,Stock levels have not changed,Stock levels are higher than normal,Not sure,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,-71,0,0,41,15,0,75,0,0,75,0,-9,0,0,0,15,0,Capital expenditure has not been affected,Not sure,Capital expenditure has stopped,Capital expenditure is lower than normal,More than 6 months,Not sure,More than 6 months,More than 6 months,4 to 6 months,Not sure,Not sure,4 to 6 months,More than 6 months,More than 6 months,More than 6 months,32490,20000521
464,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,1,1,0,0,0,1,0,0,Did not experience any challenges selling goods or services online,Not sure,Footfall has increased,Footfall has stayed the same,Not sure,Prices did not change any more than normal,Prices decreased more than normal,Prices increased more than normal,Prices increased more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Not sure,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,Exporting has not been affected,N/A,"Exporting, but less than normal","Exporting, but less than normal","Exporting, but less than normal",Not sure,"Exporting, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,"Importing, but less than normal",Not been able to import in the last two weeks,N/A,"Importing, but less than normal",Not sure,Importing has not been affected,Importing has not been affected,Importing has not been affected,Stock levels are higher than normal,Stock levels are higher than normal,N/A,Stock levels have not changed,Stock levels are higher than normal,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,0,0,42,11,-9,0,N/A,9,0,85,-12,-43,-13,5,0,11,0,Capital expenditure is lower than normal,N/A,Capital expenditure is lower than normal,Capital expenditure is lower than normal,1 to 3 months,1 to 3 months,4 to 6 months,4 to 6 months,1 to 3 months,N/A,1 to 3 months,1 to 3 months,1 to 3 months,Not sure,Not sure,28794,20000522
465,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,1,0,0,Challenges with the system for ranking and reviewing goods or services by online platforms or marketplaces,Footfall has decreased,Footfall has increased,Footfall has decreased,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices increased more than normal,"Some prices increased, some prices decreased",Not sure,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,Not been able to export in the last two weeks,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,Exporting has not been affected,Exporting has not been affected,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Importing more than normal,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing more than normal,Stock levels are lower than normal,Stock levels are lower than normal,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels are lower than normal,Stock levels have not changed,-80,0,0,0,34,0,6,0,0,-12,5,0,14,10,0,0,-10,Capital expenditure is lower than normal,Capital expenditure has not been affected,Capital expenditure has not been affected,Capital expenditure is higher than normal,1 to 3 months,Less than 1 month,Less than 1 month,1 to 3 months,Not sure,Not sure,1 to 3 months,1 to 3 months,Not sure,4 to 6 months,1 to 3 months,26905,20000523
466,Currently trading,Has temporarily closed or temporarily paused trading,Has temporarily closed or temporarily paused trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,1,0,0,0,0,"Lack of IT capacity, skills or technology within the business",Footfall has stayed the same,Footfall has increased,Footfall has decreased,"Some prices increased, some prices decreased",N/A,N/A,N/A,"Some prices increased, some prices decreased",Not sure,"Some prices increased, some prices decreased",Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Not sure,Prices did not change any more than normal,N/A,N/A,N/A,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices decreased more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Exporting, but less than normal",N/A,N/A,N/A,"Importing, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Stock levels are lower than normal,Stock levels are lower than normal,Stock levels have not changed,Stock levels are lower than normal,Stock levels are higher than normal,Stock levels have not changed,Not sure,Stock levels have not changed,-31,N/A,N/A,N/A,-6,-36,-35,-80,-11,-40,-78,-30,-12,-81,1,0,7,Not sure,Capital expenditure has stopped,Not sure,Capital expenditure is lower than normal,N/A,N/A,N/A,1 to 3 months,1 to 3 months,Less than 1 month,No cash reserves,No cash reserves,No cash reserves,No cash reserves,No cash reserves,0,20000524
467,Currently trading,Currently trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,1,0,0,1,0,0,Did not experience any challenges selling goods or services online,Footfall has stayed the same,Footfall has increased,Footfall has decreased,"Some prices increased, some prices decreased",Not sure,N/A,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices decreased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Not been able to export in the last two weeks,N/A,Not been able to export in the last two weeks,Not sure,"Exporting, but less than normal","Exporting, but less than normal",Not been able to export in the last two weeks,"Exporting, but less than normal","Exporting, but less than normal",Not been able to export in the last two weeks,Exporting has not been affected,"Importing, but less than normal",N/A,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Not sure,"Importing, but less than normal","Importing, but less than normal",Importing has not been affected,Not sure,Stock levels have not changed,Stock levels are lower than normal,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Not sure,Stock levels are lower than normal,Not sure,-31,-78,N/A,-71,-86,-69,-61,0,1,11,0,0,-78,0,-12,0,-83,Capital expenditure is lower than normal,Capital expenditure has stopped,Capital expenditure has stopped,Capital expenditure has not been affected,Not sure,N/A,Not sure,More than 6 months,More than 6 months,More than 6 months,4 to 6 months,Not sure,More than 6 months,Not sure,More than 6 months,32021,20000525
468,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Other,Footfall has decreased,Footfall has stayed the same,Footfall has decreased,Prices did not change any more than normal,Prices increased more than normal,Prices increased more than normal,Prices did not change any more than normal,Not sure,Prices increased more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices decreased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices decreased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal","Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not sure,"Importing, but less than normal",Importing more than normal,Not sure,Not sure,Importing has not been affected,Stock levels are higher than normal,Stock levels have not changed,Stock levels have not changed,Stock levels are higher than normal,Stock levels have not changed,Stock levels are higher than normal,Stock levels have not changed,Stock levels have not changed,0,0,0,0,-14,0,0,0,0,0,0,0,7,0,0,16,0,Capital expenditure is lower than normal,Capital expenditure is higher than normal,Capital expenditure is higher than normal,Capital expenditure has not been affected,4 to 6 months,Not sure,4 to 6 months,1 to 3 months,1 to 3 months,Not sure,Less than 1 month,No cash reserves,No cash reserves,No cash reserves,No cash reserves,0,20000526
469,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Footfall has decreased,Footfall has decreased,Footfall has decreased,N/A,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,N/A,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Not sure,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting more than normal,Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not been able to import in the last two weeks,"Importing, but less than normal",Not sure,Importing has not been affected,"Importing, but less than normal",Importing has not been affected,"Importing, but less than normal","Importing, but less than normal",Stock levels are higher than normal,Stock levels are lower than normal,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Stock levels are lower than normal,N/A,8,0,-7,-6,0,0,6,0,0,-8,8,0,-12,10,0,0,Not sure,Capital expenditure has not been affected,Capital expenditure is lower than normal,Not sure,More than 6 months,More than 6 months,More than 6 months,More than 6 months,More than 6 months,More than 6 months,More than 6 months,More than 6 months,More than 6 months,More than 6 months,More than 6 months,31307,20000527
470,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Prices did not change any more than normal,"Some prices increased, some prices decreased",Not sure,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Not been able to export in the last two weeks,Exporting has not been affected,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal",Exporting more than normal,Exporting has not been affected,Not sure,"Importing, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Importing has not been affected,"Importing, but less than normal","Importing, but less than normal",Importing has not been affected,Importing more than normal,"Importing, but less than normal",Stock levels have not changed,Stock levels are lower than normal,Stock levels have not changed,Stock levels have not changed,Stock levels have not changed,Not sure,Stock levels have not changed,Stock levels have not changed,0,0,0,-15,-8,0,-11,-46,0,0,-11,-38,0,1,0,-36,0,Capital expenditure has stopped,Capital expenditure has not been affected,Capital expenditure is lower than normal,Capital expenditure is higher than normal,Less than 1 month,Not sure,Not sure,Not sure,No cash reserves,No cash reserves,No cash reserves,No cash reserves,No cash reserves,No cash reserves,No cash reserves,0,20000528
471,Currently trading,Has temporarily closed or temporarily paused trading,Has temporarily closed or temporarily paused trading,Has temporarily closed or temporarily paused trading,Has temporarily closed or temporarily paused trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,1,0,1,0,Did not experience any challenges selling goods or services online,Footfall has stayed the same,Footfall has stayed the same,Footfall has decreased,Prices did not change any more than normal,N/A,N/A,N/A,N/A,N/A,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,"Some prices increased, some prices decreased",Prices increased more than normal,Prices did not change any more than normal,N/A,N/A,N/A,N/A,N/A,Prices decreased more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Exporting, but less than normal",N/A,N/A,N/A,N/A,N/A,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Importing has not been affected,"Importing, but less than normal",Not been able to import in the last two weeks,N/A,N/A,Stock levels are lower than normal,Stock levels have not changed,Stock levels are higher than normal,Stock levels are higher than normal,Stock levels have not changed,Stock levels have not changed,0,N/A,N/A,N/A,N/A,N/A,0,-6,-53,-37,8,8,10,7,0,-32,8,N/A,Capital expenditure has stopped,Not sure,Capital expenditure is lower than normal,N/A,N/A,N/A,N/A,N/A,1 to 3 months,1 to 3 months,Not sure,Not sure,Not sure,Not sure,31396,20000529
472,Currently trading,Has temporarily closed or temporarily paused trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,1,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Prices did not change any more than normal,N/A,Prices increased more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased","Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,N/A,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,N/A,Not been able to export in the last two weeks,Not sure,Not been able to export in the last two weeks,Not sure,Exporting has not been affected,Exporting more than normal,"Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal",N/A,Not been able to import in the last two weeks,"Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Importing has not been affected,Not sure,"Importing, but less than normal",Stock levels have not changed,Stock levels are lower than normal,Stock levels have not changed,Stock levels are lower than normal,Stock levels are lower than normal,Stock levels are lower than normal,Stock levels have not changed,Stock levels have not changed,-35,N/A,0,-4,0,0,-13,-6,-74,-7,-11,0,13,0,8,15,16,Not sure,Not sure,Capital expenditure has not been affected,Capital expenditure is lower than normal,N/A,More than 6 months,More than 6 months,More than 6 months,4 to 6 months,1 to 3 months,Not sure,1 to 3 months,Not sure,Not sure,1 to 3 months,0,20000530
473,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,1,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,"Some prices increased, some prices decreased",Not sure,"Some prices increased, some prices decreased",Prices increased more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Prices did not change any more than normal,Not been able to export in the last two weeks,Exporting has not been affected,Exporting more than normal,"Exporting, but less than normal",Exporting has not been affected,Exporting has not been affected,Not sure,"Exporting, but less than normal","Exporting, but less than normal","Exporting, but less than normal",Not sure,"Importing, but less than normal","Importing, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,"Importing, but less than normal",Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Importing has not been affected,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,-9,-10,-25,-9,-39,0,-8,0,10,-9,0,0,0,0,0,0,Capital expenditure has stopped,Capital expenditure has stopped,Capital expenditure has not been affected,Capital expenditure has stopped,1 to 3 months,Not sure,1 to 3 months,1 to 3 months,Not sure,1 to 3 months,Not sure,Less than 1 month,Not sure,Not sure,Less than 1 month,0,20000531
474,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,Currently trading,0,0,0,0,0,0,0,0,0,0,0,0,Did not experience any challenges selling goods or services online,Not applicable,Not applicable,Not applicable,Not sure,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,"Some prices increased, some prices decreased",Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices decreased more than normal,Not sure,Prices did not change any more than normal,Prices did not change any more than normal,Prices increased more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Prices did not change any more than normal,Exporting has not been affected,Not been able to export in the last two weeks,Not sure,Exporting more than normal,Not been able to export in the last two weeks,Exporting has not been affected,"Exporting, but less than normal",Exporting has not been affected,"Exporting, but less than normal","Exporting, but less than normal","Exporting, but less than normal",Not been able to import in the last two weeks,Not been able to import in the last two weeks,Not sure,Not been able to import in the last two weeks,"Importing, but less than normal","Importing, but less than normal","Importing, but less than normal",Importing has not been affected,Importing has not been affected,"Importing, but less than normal",Importing has not been affected,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,-11,0,0,0,-8,-73,-11,-11,-11,0,0,0,0,0,10,-35,Capital expenditure is lower than normal,Capital expenditure has stopped,Capital expenditure is lower than normal,Capital expenditure is lower than normal,More than 6 months,More than 6 months,4 to 6 months,4 to 6 months,Not sure,1 to 3 months,Not sure,1 to 3 months,1 to 3 months,Not sure,Not sure,0,20000532
